framework,framework_id,category,framework_control,proposed_label,confidence,notes
nist,GOVERN-1,Govern,"Organisation maintains a documented AI governance policy and roles/responsibilities for AI risk management, including senior leadership accountability.",CTL-001,medium,"Could plausibly be CTL-005 instead (documented AI policy) - overlaps both controls, picked CTL-001 for the roles/responsibilities + leadership accountability angle"
nist,GOVERN-2,Govern,"Legal and regulatory requirements involving AI are mapped, tracked, and understood by relevant staff.",GAP,high,"No control addresses legal/regulatory tracking"
nist,GOVERN-3,Govern,"Processes exist for workforce diversity, equity, and inclusion considerations in AI risk management decisions.",GAP,high,"No control addresses DEI"
nist,GOVERN-4,Govern,"Organisational culture and incentives support critical thinking and safety-first mindset in AI system design, development, and deployment.",GAP,high,"No control addresses culture; confirmed as a genuine flagged gap in the full cross-encoder run"
nist,GOVERN-5,Govern,"Mechanisms exist for external and internal stakeholders to provide feedback on AI systems throughout the lifecycle.",GAP,high,"No control addresses stakeholder feedback mechanisms"
nist,GOVERN-6,Govern,"Policies address third-party AI risks, including data, software, and system dependencies from external suppliers.",CTL-004,medium,"CTL-004 is vendor security/data handling, not full dependency risk, but closest available"
nist,MAP-1,Map,"Business and societal context of the AI system, including intended purpose and users, is documented and understood.",GAP,high,"No control addresses this"
nist,MAP-2,Map,"Categorisation of the AI system is performed, including capabilities, usage scenarios, and deployment context.",GAP,high,"No control addresses this"
nist,MAP-3,Map,"AI system risks and benefits are mapped for all identified users, stakeholders, and potentially impacted groups.",GAP,high,"No control addresses this"
nist,MAP-4,Map,"Risks and benefits from third-party components, including pre-trained models, data, and software, are mapped.",GAP,low,"CTL-004 (vendor questionnaire) is adjacent but doesn't cover risk/benefit mapping of components specifically - your call"
nist,MEASURE-1,Measure,"Appropriate methods and metrics are identified and applied to measure AI system trustworthiness characteristics.",CTL-002,low,"CTL-002 covers accuracy/drift metrics but 'trustworthiness characteristics' is broader than that - your call whether this counts or is a gap"
nist,MEASURE-2,Measure,"AI system performance, including accuracy and robustness, is evaluated against defined benchmarks and use-case requirements.",CTL-002,high,"Clear match on accuracy/drift tracked against thresholds"
nist,MEASURE-3,Measure,"Mechanisms for tracking identified AI risks over time are in place, including feedback from monitoring and incidents.",GAP,low,"CTL-002 (monthly tracking) and CTL-009 (incident response) both partially touch this - your call whether either counts"
nist,MEASURE-4,Measure,"Fairness and bias in AI system outcomes are regularly assessed using appropriate methods for the context of use.",GAP,high,"No control addresses fairness/bias"
nist,MANAGE-1,Manage,"AI risks are prioritised and responded to based on the assessment results from the Measure function.",GAP,high,"No control addresses risk prioritisation process"
nist,MANAGE-2,Manage,"Mechanisms exist to sustain the value of deployed AI systems, including responding to changes in context or performance.",GAP,high,"No control addresses this"
